roman,strategy,DOF,Elements,time,n_common_points,mean_VTA_volume_mm3,median_VTA_volume_mm3,mean_rel_volume_error,max_rel_volume_error,mean_dice_vs_best,min_dice_vs_best
\rom{1},default,47406,33279,1.7003719806671143,184014,271.87214872262774,217.71875,0.023267662247837866,0.0797872340425532,0.9746869379668625,0.9509918319719953
\rom{2},fine,179918,129036,5.125446557998657,184014,273.8640510948905,217.96875,0.011859996567372539,0.04714086471408647,0.9864724364106688,0.9728649908440153
\rom{3},very_fine,833640,607118,28.870012998580933,184014,275.163549270073,219.734375,0.004761513257161047,0.01911860012961763,0.9926771732799455,0.9860513173755812
\rom{4},material_refinement,4758579,3513208,457.88859963417053,184014,275.39393248175185,219.9375,0.004032795618743826,0.018932267168391345,0.9932426949579999,0.9865913902611151
\rom{5},edge_refinement,51139,35655,1.8822555541992188,184014,273.2244525547445,218.5,0.01445152915327871,0.04890234670704012,0.980244497971473,0.9677312042581504
\rom{6},fine_edge_refinement,84414,58072,2.560486316680908,184014,274.3014370437956,218.4375,0.007926758160199027,0.0210446631339894,0.985042377570798,0.9782285327924273
\rom{7},edge_voxel_refinement,88320,60275,2.581455707550049,184014,274.76357208029196,218.703125,0.006780612326516066,0.019984859954579864,0.9853271267626259,0.9763832658569501
\rom{8},edge_single_material_refinement,141398,99793,4.199208974838257,184014,275.26984489051097,219.875,0.004902022484810883,0.0178051149239236,0.987869998053081,0.98180636777128
\rom{9},edge_double_material_refinement,447451,325252,18.497777700424194,184014,275.4507299270073,220.03125,0.003975068354312345,0.017481385561670445,0.9891375966148989,0.9818181818181818
\rom{10},very_fine_edge_refinement,112099,76655,3.368039608001709,184014,274.8910812043796,219.203125,0.005064129282793028,0.01476510067114094,0.9862014700694862,0.978494623655914
\rom{11},fine_edge_single_material_refinement,171536,120225,5.442580223083496,184014,275.51243156934305,219.625,0.003393307545826939,0.0115409275486215,0.9887057034255796,0.9830394626364399
\rom{12},fine_edge_double_material_refinement,474569,343412,18.763176679611206,184014,275.693772810219,219.84375,0.0026149727677764103,0.010531432274789372,0.9898423909278715,0.9847945648657392
\rom{13},hp_refinement,61859,36271,2.5612645149230957,184014,274.88731751824815,219.546875,0.005242762197571225,0.020333372739094455,0.9824384593700407,0.9720998531571219
\rom{14},hp_material_refinement,117839,77120,4.302982330322266,184014,275.2923129562044,219.96875,0.004587119681663699,0.01891476533869252,0.9848940457383318,0.9729200652528548
Best,best,24987728,18477205,57195.936375141144,184015,275.9492472627737,219.828125,0.0,0.0,1.0,1.0
